b,e,d,a,alignment,families
14,4,18,22,0.885614886,dr_d_9;parity_00;composite_edge
14,5,19,24,0.893509508,dr_d_1;parity_01;prime_edge
14,6,20,2,0.953312662,dr_d_2;parity_00;composite_edge
14,7,21,4,0.934080897,dr_d_3;parity_01;prime_edge
14,8,22,6,0.911465430,dr_d_4;parity_00;composite_edge
14,9,23,8,0.887007108,dr_d_5;parity_01;composite_edge
14,10,24,10,0.861857502,dr_d_6;parity_00;composite_edge
14,11,1,12,0.855337203,dr_d_1;parity_01;prime_edge
14,12,2,14,0.852012867,dr_d_2;parity_00;composite_edge
14,13,3,16,0.845154255,dr_d_3;parity_01;prime_edge
14,14,4,18,0.836333398,dr_d_4;parity_00;composite_edge
14,15,5,20,0.850879117,dr_d_5;parity_01;composite_edge
14,16,6,22,0.861857502,dr_d_6;parity_00;composite_edge
14,17,7,24,0.870176538,dr_d_7;parity_01;prime_edge
14,18,8,2,0.933138950,dr_d_8;parity_00;composite_edge
14,19,9,4,0.912452085,dr_d_9;parity_01;prime_edge
14,20,10,6,0.888604235,dr_d_1;parity_00;composite_edge
14,21,11,8,0.863211341,dr_d_2;parity_01;composite_edge
14,22,12,10,0.837435789,dr_d_3;parity_00;composite_edge
14,23,13,12,0.812059870,dr_d_4;parity_01;prime_edge
14,24,14,14,0.787575339,dr_d_5;parity_00;composite_edge
15,1,16,17,0.840372347,dr_d_7;parity_11;composite_edge
15,2,17,19,0.858604312,dr_d_8;parity_10;prime_edge
15,3,18,21,0.872502872,dr_d_9;parity_11;prime_edge
15,4,19,23,0.883085980,dr_d_1;parity_10;composite_edge
15,5,20,1,0.969979492,dr_d_2;parity_11;prime_edge
15,6,21,3,0.954668741,dr_d_3;parity_10;composite_edge
15,7,22,5,0.934987587,dr_d_4;parity_11;prime_edge
15,8,23,7,0.912555002,dr_d_5;parity_10;composite_edge
15,9,24,9,0.888661705,dr_d_6;parity_11;composite_edge
15,10,1,11,0.869570081,dr_d_1;parity_10;composite_edge
15,11,2,13,0.869079197,dr_d_2;parity_11;prime_edge
15,12,3,15,0.863868426,dr_d_3;parity_10;composite_edge
15,13,4,17,0.855847512,dr_d_4;parity_11;prime_edge
15,14,5,19,0.846305478,dr_d_5;parity_10;composite_edge
15,15,6,21,0.836079617,dr_d_6;parity_11;composite_edge
15,16,7,23,0.847425697,dr_d_7;parity_10;composite_edge
15,17,8,1,0.940363359,dr_d_8;parity_11;prime_edge
15,18,9,3,0.923099494,dr_d_9;parity_10;composite_edge
15,19,10,5,0.901631589,dr_d_1;parity_11;prime_edge
15,20,11,7,0.877747260,dr_d_2;parity_10;composite_edge
15,21,12,9,0.852802865,dr_d_3;parity_11;composite_edge
